transaction_id,date,amount,transaction_status,branch_id
127062,2025-04-25,,SUCCESS,Atmakur_Branch3
264421,2025-04-25,,,Atmakur_Branch3
322838,2025-04-25,73.62,,Atmakur_Branch3
965026,2025-04-25,721.72,FAILED,Atmakur_Branch3
853724,2025-04-25,138.26,,Atmakur_Branch3
823010,2025-04-25,803.73,FAILED,Atmakur_Branch3
112237,2025-04-25,790.35,,Atmakur_Branch3
868459,2025-04-25,,SUCCESS,Atmakur_Branch3
889869,2025-04-25,,SUCCESS,Atmakur_Branch3
519710,2025-04-26,985.78,SUCCESS,Atmakur_Branch3
379819,2025-04-26,,FAILED,Atmakur_Branch3
822679,2025-04-26,,FAILED,Atmakur_Branch3
720796,2025-04-26,,,Atmakur_Branch3
570617,2025-04-26,,SUCCESS,Atmakur_Branch3
895817,2025-04-26,292.8,SUCCESS,Atmakur_Branch3
809747,2025-04-26,,FAILED,Atmakur_Branch3
523934,2025-04-26,,SUCCESS,Atmakur_Branch3
547506,2025-04-27,925.25,SUCCESS,Atmakur_Branch3
762232,2025-04-27,324.06,SUCCESS,Atmakur_Branch3
202392,2025-04-27,170.86,,Atmakur_Branch3
810006,2025-04-27,599.74,FAILED,Atmakur_Branch3
281764,2025-04-27,,,Atmakur_Branch3
777329,2025-04-27,,,Atmakur_Branch3
674556,2025-04-27,,SUCCESS,Atmakur_Branch3
907093,2025-04-27,636.42,,Atmakur_Branch3
908791,2025-04-28,,SUCCESS,Atmakur_Branch3
758122,2025-04-28,,SUCCESS,Atmakur_Branch3
555300,2025-04-28,,SUCCESS,Atmakur_Branch3
991457,2025-04-28,,,Atmakur_Branch3
534220,2025-04-28,,SUCCESS,Atmakur_Branch3
119900,2025-04-28,90.03,,Atmakur_Branch3
267470,2025-04-28,855.08,,Atmakur_Branch3
857086,2025-04-28,705.44,,Atmakur_Branch3
904016,2025-04-29,,,Atmakur_Branch3
699310,2025-04-29,,FAILED,Atmakur_Branch3
302067,2025-04-29,,SUCCESS,Atmakur_Branch3
103761,2025-04-29,,SUCCESS,Atmakur_Branch3
124613,2025-04-29,579.22,,Atmakur_Branch3
535867,2025-04-30,,SUCCESS,Atmakur_Branch3
890379,2025-04-30,,FAILED,Atmakur_Branch3
244778,2025-04-30,,,Atmakur_Branch3
909986,2025-04-30,,,Atmakur_Branch3
271980,2025-04-30,,SUCCESS,Atmakur_Branch3
610729,2025-04-30,100.61,,Atmakur_Branch3
542187,2025-04-30,,,Atmakur_Branch3
704723,2025-05-01,,,Atmakur_Branch3
846425,2025-05-01,,,Atmakur_Branch3
770168,2025-05-01,,FAILED,Atmakur_Branch3
110180,2025-05-01,,,Atmakur_Branch3
821838,2025-05-01,780.47,SUCCESS,Atmakur_Branch3
893750,2025-05-01,,,Atmakur_Branch3
517082,2025-05-01,,,Atmakur_Branch3
548289,2025-05-01,,FAILED,Atmakur_Branch3
198035,2025-05-01,909.94,SUCCESS,Atmakur_Branch3
