transaction_id,date,amount,transaction_status,branch_id
945480,2025-04-25,,FAILED,Kuppam_Branch5
865168,2025-04-25,,,Kuppam_Branch5
742997,2025-04-25,,FAILED,Kuppam_Branch5
129295,2025-04-25,,SUCCESS,Kuppam_Branch5
483019,2025-04-25,,FAILED,Kuppam_Branch5
243307,2025-04-25,836.84,,Kuppam_Branch5
752281,2025-04-25,,,Kuppam_Branch5
505910,2025-04-25,,,Kuppam_Branch5
849717,2025-04-26,,FAILED,Kuppam_Branch5
246418,2025-04-26,,,Kuppam_Branch5
229098,2025-04-26,564.9,FAILED,Kuppam_Branch5
370119,2025-04-26,,,Kuppam_Branch5
737868,2025-04-26,,,Kuppam_Branch5
387153,2025-04-26,333.4,SUCCESS,Kuppam_Branch5
859498,2025-04-27,901.72,SUCCESS,Kuppam_Branch5
872197,2025-04-27,46.3,,Kuppam_Branch5
809891,2025-04-27,,FAILED,Kuppam_Branch5
529402,2025-04-27,877.91,,Kuppam_Branch5
358669,2025-04-27,237.26,FAILED,Kuppam_Branch5
300491,2025-04-27,,,Kuppam_Branch5
974744,2025-04-28,328.89,,Kuppam_Branch5
941328,2025-04-28,484.59,SUCCESS,Kuppam_Branch5
577512,2025-04-28,,,Kuppam_Branch5
160571,2025-04-28,708.25,,Kuppam_Branch5
189875,2025-04-28,,,Kuppam_Branch5
167095,2025-04-28,,SUCCESS,Kuppam_Branch5
396752,2025-04-28,,FAILED,Kuppam_Branch5
796835,2025-04-28,,SUCCESS,Kuppam_Branch5
917055,2025-04-28,,,Kuppam_Branch5
213540,2025-04-29,204.56,FAILED,Kuppam_Branch5
653646,2025-04-29,16.56,,Kuppam_Branch5
633309,2025-04-29,,SUCCESS,Kuppam_Branch5
735653,2025-04-29,51.68,,Kuppam_Branch5
238031,2025-04-29,959.44,,Kuppam_Branch5
303537,2025-04-29,,,Kuppam_Branch5
712632,2025-04-30,,FAILED,Kuppam_Branch5
362417,2025-04-30,,FAILED,Kuppam_Branch5
109236,2025-04-30,,FAILED,Kuppam_Branch5
822985,2025-04-30,,SUCCESS,Kuppam_Branch5
626378,2025-04-30,,FAILED,Kuppam_Branch5
284074,2025-04-30,,,Kuppam_Branch5
644872,2025-04-30,,,Kuppam_Branch5
903679,2025-05-01,97.21,,Kuppam_Branch5
633036,2025-05-01,270.78,FAILED,Kuppam_Branch5
909905,2025-05-01,400.93,,Kuppam_Branch5
505757,2025-05-01,,SUCCESS,Kuppam_Branch5
397593,2025-05-01,,,Kuppam_Branch5
