transaction_id,date,amount,transaction_status,branch_id
481866,2025-04-25,,SUCCESS,Nellore_Branch3
282817,2025-04-25,329.75,FAILED,Nellore_Branch3
560424,2025-04-25,614.82,,Nellore_Branch3
577800,2025-04-25,,FAILED,Nellore_Branch3
802325,2025-04-25,827.66,FAILED,Nellore_Branch3
472316,2025-04-25,,,Nellore_Branch3
523645,2025-04-25,715.36,SUCCESS,Nellore_Branch3
818441,2025-04-25,113.38,,Nellore_Branch3
748777,2025-04-25,,,Nellore_Branch3
226560,2025-04-26,,,Nellore_Branch3
597091,2025-04-26,,FAILED,Nellore_Branch3
372607,2025-04-26,119.13,,Nellore_Branch3
759742,2025-04-26,,,Nellore_Branch3
643442,2025-04-26,,,Nellore_Branch3
392087,2025-04-26,,FAILED,Nellore_Branch3
869454,2025-04-26,,SUCCESS,Nellore_Branch3
757327,2025-04-26,,FAILED,Nellore_Branch3
474906,2025-04-27,,SUCCESS,Nellore_Branch3
413460,2025-04-27,,,Nellore_Branch3
244064,2025-04-27,,,Nellore_Branch3
962201,2025-04-27,887.56,,Nellore_Branch3
793338,2025-04-27,,SUCCESS,Nellore_Branch3
148332,2025-04-27,,SUCCESS,Nellore_Branch3
400981,2025-04-27,,,Nellore_Branch3
890062,2025-04-27,,,Nellore_Branch3
129526,2025-04-27,,FAILED,Nellore_Branch3
187257,2025-04-28,,SUCCESS,Nellore_Branch3
337509,2025-04-28,900.47,,Nellore_Branch3
399145,2025-04-28,782.32,FAILED,Nellore_Branch3
242022,2025-04-28,,FAILED,Nellore_Branch3
272982,2025-04-28,150.02,,Nellore_Branch3
634087,2025-04-28,,,Nellore_Branch3
301911,2025-04-28,,SUCCESS,Nellore_Branch3
525393,2025-04-28,,,Nellore_Branch3
703558,2025-04-29,,SUCCESS,Nellore_Branch3
618724,2025-04-29,,SUCCESS,Nellore_Branch3
650063,2025-04-29,,,Nellore_Branch3
343984,2025-04-29,,FAILED,Nellore_Branch3
754218,2025-04-29,,,Nellore_Branch3
146882,2025-04-29,594.21,,Nellore_Branch3
377398,2025-04-29,,FAILED,Nellore_Branch3
136162,2025-04-30,,SUCCESS,Nellore_Branch3
749670,2025-04-30,791.06,FAILED,Nellore_Branch3
934541,2025-04-30,,,Nellore_Branch3
948345,2025-04-30,,,Nellore_Branch3
752076,2025-04-30,,,Nellore_Branch3
754757,2025-04-30,,,Nellore_Branch3
348941,2025-04-30,813.82,SUCCESS,Nellore_Branch3
489712,2025-04-30,,,Nellore_Branch3
408192,2025-04-30,,,Nellore_Branch3
344130,2025-05-01,,FAILED,Nellore_Branch3
132409,2025-05-01,,FAILED,Nellore_Branch3
528695,2025-05-01,387.73,,Nellore_Branch3
812876,2025-05-01,,,Nellore_Branch3
382339,2025-05-01,,SUCCESS,Nellore_Branch3
604176,2025-05-01,,FAILED,Nellore_Branch3
675511,2025-05-01,367.1,,Nellore_Branch3
559888,2025-05-01,,SUCCESS,Nellore_Branch3
